features,split,repeat,fold,auc,n_test
全257項目（項目選択なし）,人ごとに10分割,2,2,0.5679312047399604,650
全257項目（項目選択なし）,人ごとに10分割,2,3,0.5216460657220379,597
全257項目（項目選択なし）,人ごとに10分割,2,4,0.47872407489125635,605
全257項目（項目選択なし）,人ごとに10分割,2,5,0.6688019652305367,672
全257項目（項目選択なし）,人ごとに10分割,2,6,0.615111416623704,595
全257項目（項目選択なし）,人ごとに10分割,2,7,0.4916970601237842,748
全257項目（項目選択なし）,人ごとに10分割,2,8,0.4266035580218704,612
全257項目（項目選択なし）,人ごとに10分割,2,9,0.5624238162212847,519
全257項目（項目選択なし）,人ごとに10分割,2,pooled,0.5306113848916094,6181
全257項目（項目選択なし）,人ごとに10分割,3,0,0.5007462686567165,663
全257項目（項目選択なし）,人ごとに10分割,3,1,0.5651765085164687,540
全257項目（項目選択なし）,人ごとに10分割,3,2,0.4356902356902357,669
全257項目（項目選択なし）,人ごとに10分割,3,3,0.6331699346405228,447
